"RegionName","Type","Price_Predict","X2011.09","X2011.10","X2011.11","X2011.12","X2012.01","X2012.02","X2012.03","X2012.04","X2012.05","X2012.06","X2012.07","X2012.08","X2012.09","X2012.10","X2012.11","X2012.12","X2013.01","X2013.02","X2013.03","X2013.04","X2013.05","X2013.06","X2013.07","X2013.08","X2013.09","X2013.10","X2013.11","X2013.12","X2014.01","X2014.02","X2014.03","X2014.04","X2014.05","X2014.06","X2014.07","X2014.08","X2014.09","X2014.10","X2014.11","X2014.12","X2015.01","X2015.02","X2015.03","X2015.04","X2015.05","X2015.06","X2015.07","X2015.08","X2015.09","X2015.10","X2015.11","X2015.12","X2016.01","X2016.02","X2016.03","X2016.04","X2016.05","X2016.06","X2016.07","X2016.08","X2016.09","X2016.10","X2016.11","X2016.12","X2017.01","X2017.02","X2017.03","X2017.04","X2017.05","X2017.06","X2017.07","X2017.08"
10005,"Sale",1468.1451,1101.026046,1078.999019,1098.511694,1103.594562,1097.850301,1079.881657,1087.145969,1054.731514,1090.750813,1067.816776,1087.595532,1056.338028,1047.182278,1033.760186,1069.986477,1078.815837,1081.730769,1080.819565,1071.782178,1023.502654,1029.614325,1016.717325,1038.567715,1047.523427,1042.944785,1053.405194,1107.241869,1083.292268,1131.221719,1134.823848,1207.729469,1197.370336,1212.045208,1231.527094,1223.628692,1204.268293,1257.869449,1286.995516,1302.608261,1301.810822,1299.907149,1333.333333,1336.986519,1312.957865,1330.343797,1332.572298,1371.428571,1332.572298,1375,1418.070587,1451.890034,1452.086096,1457.399103,1456.780841,1487.58465,1511.527067,1535.714286,1514.264813,1502.716911,1502.86533,1514.393818,1502.568493,1496.14726,1488.306166,1487.396326,1466.197106,1468.074424,1472.431797,1464.041096,1437.125749,1413.756815,1407.302469
10006,"Sale",2274.1224,1943.995649,1949.645209,1948.969804,1951.507358,1952.541058,1955.864294,1957.584361,1952.735725,1959.535005,1961.674302,1962.128219,1956.119294,1950.37262,1952.338759,1979.239613,1978.528994,1978.036627,1981.332415,1988.326075,1991.556079,1999.782324,2003.907005,2015.975025,2025.741164,2035.96482,2042.555076,2053.075391,2053.917918,2059.674272,2066.141769,2075.490532,2077.934111,2088.291025,2089.79498,2100.066203,2098.360656,2071.641478,2106.715731,1955.888473,1914.248592,2000,2126.391097,1987.281399,1991.351894,2076.570953,2076.570953,2103.960396,2115.175747,2138.643068,2144.914134,2144.082424,2166.136725,2202.063644,2351.566367,2266.514017,2243.395409,2227.722772,2265.242174,2263.577456,2268.100704,2266.435986,2293.337293,2289.377289,2309.236948,2272.309108,2280.843199,2291.497155,2280.843199,2257.408643,2249.691528,2272.309108,2226.179044
10007,"Sale",2295.9896,2407.639389,2413.288948,2412.613543,2415.151097,2416.184798,2419.508033,2421.2281,2416.379464,2423.178744,2425.318042,2425.771958,2419.763033,2414.016359,2415.982498,2442.883352,2442.172734,2441.680366,2444.976154,2451.969814,2455.199818,2463.426063,2467.550744,2479.618764,2489.384903,2499.608559,2506.198816,2516.719131,2517.561658,2523.318011,2529.785509,2539.134271,2541.57785,2551.934764,2553.438719,2563.709942,2562.004395,2577.645307,2580.61761,2584.080512,2585.93033,2593.903909,2603.467672,2604.862432,2608.020674,2614.31725,2593.904006,2582.335329,2650.871849,2628.796794,2777.94705,2796.500324,2794.623656,2794.623656,2765.416402,2600.208225,2399.263953,2328.645532,2320.754909,2329.672278,2314.530871,2320.014844,2312.989754,2352.437981,2342.885657,2332.192757,2379.891304,2313.790806,2314.682823,2217.800942,2227.796358,2227.796358,2209.59596
10009,"Sale",1799.2103,1523.562347,1529.211906,1528.536501,1531.074055,1532.107756,1535.430991,1537.151058,1532.302423,1539.101702,1541.241,1541.694916,1535.685992,1529.939317,1531.905456,1558.80631,1558.095692,1557.603324,1560.899112,1567.892772,1571.122776,1579.349021,1583.473702,1595.541723,1605.307862,1615.531517,1622.121774,1632.642089,1633.484616,1639.24097,1645.708467,1655.057229,1657.500808,1667.857722,1669.361678,1679.6329,1677.927353,1693.568266,1696.540568,1700.00347,1701.853288,1709.826867,1719.39063,1720.78539,1723.943633,1730.240208,1734.861911,1740.306967,1746.301021,1753.734248,1760.380882,1767.023076,1774.646789,1790.686758,1790.130205,1775.955454,1787.162493,1775.365718,1780.12351,1789.838337,1814.647104,1829.22107,1820.083682,1809.465656,1815.527908,1808.655408,1783.63228,1762.973926,1762.973926,1766.666667,1808.655408,1808.100289,1814.566949
10010,"Sale",2148.5804,1142.98503,1148.634589,1147.959184,1147.959184,1149.834293,1110.833333,1168.230182,1200,1246.081505,1277.53304,1269.93311,1268.488698,1247.203134,1284.58498,1278.656126,1308.767185,1297.465226,1310.344828,1350.014365,1301.613966,1330,1374.125874,1461.538462,1471.952234,1547.459689,1503.428854,1493.340505,1509.302326,1605.27972,1553.663239,1532.667245,1519.721578,1581.243184,1664.524422,1664.524422,1651.559609,1730.282073,1690.231362,1766.800979,1822.134387,1859.106451,1861.588337,1897.195401,1901.469317,1923.601637,1924.473493,1950.886767,2031.640844,2052.023121,2010.48951,1999.223636,1980.522615,1970.44335,1985.630307,2040.337711,1998.461538,1987.627757,1990.5592,2045.826514,2141.904762,2116.966214,2066.374452,2148.798521,2154.231193,2128.080316,2137.538649,2197.062424,2112.461955,2158.590308,2145.522388,2193.320569,2224.017274
10011,"Sale",2067.4614,2050.79125,2056.44081,2055.765405,2058.302959,2059.336659,2062.659895,2064.379962,2059.531326,2066.330606,2068.469903,2068.92382,2062.914895,2057.168221,2059.13436,2086.035214,2085.324595,2084.832228,2088.128016,2095.121676,2098.35168,2106.577925,2110.702606,2122.770626,2132.536765,2142.760421,2149.350677,2159.870992,2160.713519,2166.469873,2172.93737,2182.286133,2175.969726,2182.724518,2153.341625,2244.167713,2240.275726,2305.379218,2329.67033,2332.81493,2389.010039,2345.152603,2439.599293,2423.770783,2383.826192,2410.575428,2420.120457,2391.752577,2475.055524,2474.226804,2461.929469,2475.884244,2503.571996,2419.354839,2392.713802,2396.244135,2426.994776,2237.583401,2200,2184.718402,2176.470588,2155.694425,2116.590006,2137.697602,2109.125845,2075.604151,2067.510549,2073.139021,2037.671837,2018.549471,2028.596934,2007.065795,1982.291162
10012,"Sale",2444.5099,2231.389183,2237.038743,2236.363337,2238.900892,2239.934592,2243.257828,2244.977894,2240.129259,2246.928539,2249.067836,2249.521752,2243.512828,2237.766154,2239.732293,2266.633147,2265.922528,2265.430161,2268.725949,2275.719609,2278.949613,2287.175857,2291.300539,2303.368559,2313.134698,2323.358354,2329.94861,2340.468925,2341.311452,2347.067806,2353.535303,2362.884066,2365.327645,2375.684558,2377.188514,2387.459737,2385.75419,2401.395102,2404.367405,2407.830307,2409.680125,2417.653703,2427.217467,2428.612227,2431.770469,2431.770469,2439.411045,2434.377646,2448.979592,2484.578478,2458.928339,2434.377646,2484.578478,2766.951297,2740.058196,2489.279263,2640.938451,2498.241275,2502.502503,2433.026371,2480,2451.177581,2451.941938,2412.743248,2376.774687,2416.230063,2453.669725,2587.176603,2534.685165,2400.358503,2412.068966,2429.034874,2408.256881
10013,"Sale",2229.0388,2161.145285,2166.794845,2166.119439,2168.656994,2169.690694,2173.01393,2174.733996,2169.885361,2176.684641,2178.823938,2179.277854,2173.26893,2167.522256,2169.488395,2196.389249,2195.67863,2195.186263,2198.482051,2205.475711,2208.705715,2216.931959,2221.056641,2233.124661,2242.8908,2253.114456,2259.704712,2270.225027,2271.067554,2276.823908,2283.291405,2308.144829,2308.13618,2423.542989,2248.728979,2325.410512,2319.451766,2460.892789,2458.033573,2458.833186,2373.583289,2386.990077,2503.531635,2457.16862,2375.181774,2330.309665,2314.075966,2321.582115,2359.752959,2353.100299,2362.562472,2405.345212,2437.467252,2638.890693,2577.071291,2338.129496,2475.884244,2311.725022,2292.768959,2285.570285,2308.714573,2316.258352,2315.296566,2297.324893,2317.880795,2315.777459,2264.961415,2204.585538,2153.646957,2146.414285,2135.632184,2141.914191,2138.773188
10014,"Sale",2552.0828,1942.795684,1948.445244,1947.769839,1950.307393,1951.341093,1954.664329,1956.384396,1951.53576,1958.33504,1960.474337,1960.928253,1954.919329,1949.172655,1951.138794,1978.039648,1977.329029,1976.836662,1980.13245,1962.537994,1937.5,1937.5,1947.663842,1896.059526,1935.867505,1985.75228,1996.153846,1999.411765,2001.04763,2004.157673,2103.365385,2220,2183.040078,2216.754032,2297.989791,2243.444146,2326.732673,2319.736993,2285.490401,2243.804421,2299.025579,2254.878049,2292.677358,2193.012214,2179.333024,2308.309916,2306.671092,2308.309916,2308.309916,2376.033058,2516.372796,2548.779225,2638.723268,2737.226277,2728.435593,2455.074151,2611.69624,2465.530506,2424.162257,2502.47871,2530.837941,2593.283919,2591.973244,2595.014303,2587.706396,2560.97561,2297.484453,2370.395634,2556.20985,2565.564424,2572.856205,2664.69282,2668.836157
10016,"Sale",1501.8996,887.037037,898.3636364,899,906.25,969.6446654,998.8095238,997.2489684,994.4237918,998.6666667,988.9835987,998.5416667,993.7810945,992.0304627,993.4554974,1071.130952,1069.886849,1033.333333,1033.333333,1048.071819,1094.420601,1112.903226,1129.655172,1133.419689,1142.080745,1120.9375,1136.411168,1213.592233,1207.983193,1233.333333,1214.411563,1207.983193,1250,1308.150589,1323.654996,1374.141162,1368.888763,1421.319797,1453.785002,1473.296501,1464.17338,1588.557905,1493.506494,1403.212172,1411.290323,1419.646108,1450.295976,1463.700234,1568.053254,1599.326599,1649.681529,1632.02318,1626.988612,1595.657553,1605.370695,1616.506832,1582.892416,1588.921283,1595.022624,1558.62069,1529.051988,1524.534211,1519.052523,1500.470331,1527.097705,1526.166902,1542.446527,1511.168033,1480.932203,1474.041134,1499.454744,1458.715596,1458.715596
