,Active.Date,COUNTY,LEGAL.NAME,INSTITUTION.TYPE.DESCRIPTION,INSTITUTION.SUB.TYPE.DESCRIPTION,GRADE.ORGANIZATION.DESCRIPTION,MAILING.ADDRESS,MAIL.CITY,STATE,ZIP,location,long,lat
1463,7/1/1980,WESTCHESTER,SOMERS CENTRAL SCHOOL DISTRICT,SCHOOL DISTRICTS,INDEPENDENT CENTRAL,NA,PO BOX 620,SOMERS,NY,10589,"PO BOX 620, SOMERS, NY 10589",-73.6948234,41.3278772
1464,7/1/1980,WESTCHESTER,SOMERS INTERMEDIATE SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL INDEPENDENT CENTRAL,Elementary,240 RT 202,SOMERS,NY,10589,"240 RT 202, SOMERS, NY 10589",-73.697085,41.3253449
1465,7/1/1980,WESTCHESTER,SOMERS MIDDLE SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL INDEPENDENT CENTRAL,Middle School,250 RT 202,SOMERS,NY,10589,"250 RT 202, SOMERS, NY 10589",-73.6944589,41.3260148
1466,7/1/1980,WESTCHESTER,JOHN F KENNEDY CATHOLIC HIGH SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Senior High,54 RT 138,SOMERS,NY,10589,"54 RT 138, SOMERS, NY 10589",-73.6889499,41.302847
1467,7/1/1980,WESTCHESTER,UNION FREE SCHOOL DISTRICT OF THE TARRYTOWNS,SCHOOL DISTRICTS,INDEPENDENT UNION FREE,NA,200 N BROADWAY,SLEEPY HOLLOW,NY,10591,"200 N BROADWAY, SLEEPY HOLLOW, NY 10591",-73.8582848,41.0855265
1468,7/1/1980,WESTCHESTER,JOHN PAULDING SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL INDEPENDENT UNION FREE,Elementary,154 N BROADWAY,TARRYTOWN,NY,10591,"154 N BROADWAY, TARRYTOWN, NY 10591",-73.8573357,41.0819202
1469,7/1/1980,WESTCHESTER,W L MORSE SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL INDEPENDENT UNION FREE,Elementary,30 POCANTICO ST,SLEEPY HOLLOW,NY,10591,"30 POCANTICO ST, SLEEPY HOLLOW, NY 10591",-73.8618002,41.0852825
1470,7/1/1980,WESTCHESTER,SLEEPY HOLLOW HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL INDEPENDENT UNION FREE,Senior High,210 N BROADWAY,SLEEPY HOLLOW,NY,10591,"210 N BROADWAY, SLEEPY HOLLOW, NY 10591",-73.8582848,41.0855265
1471,7/1/1980,WESTCHESTER,WASHINGTON IRVING INTERM SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL INDEPENDENT UNION FREE,Elementary,103 S BROADWAY,TARRYTOWN,NY,10591,"103 S BROADWAY, TARRYTOWN, NY 10591",-73.8595489,41.0728768
1472,7/1/2006,WESTCHESTER,SLEEPY HOLLOW MIDDLE SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL INDEPENDENT UNION FREE,Middle School,210 N BROADWAY,NORTH TARRYTOWN,NY,10591,"210 N BROADWAY, NORTH TARRYTOWN, NY 10591",-73.8611661,41.0691654
