"NAME","the_geom","ADDRESS1","ADDRESS2","CITY","ZIP","long","lat"
"Plaza Holding Inc","POINT (-73.97568005712148 40.76226036307528)","15 W 55th St","","New York",10019,"-73.97568005712148","40.76226036307528"
"Plaza Watch & Jewelry Exchange","POINT (-73.97867413980654 40.7652614379812)","145 W 57th St","","New York",10019,"-73.97867413980654","40.7652614379812"
"Pleiades Gallery","POINT (-74.004770690104 40.74937493397012)","530 W 25th St","","New York",10001,"-74.004770690104","40.74937493397012"
"Plum Blossom Gallery","POINT (-74.0053735768785 40.7501763280434)","555 W 25th St","","New York",10001,"-74.0053735768785","40.7501763280434"
"Polizzi Fine Art","POINT (-74.02860202478092 40.628876223412206)","7813 3rd Ave","","Brooklyn",11209,"-74.02860202478092","40.628876223412206"
"Poller Leah","POINT (-73.99973975533851 40.72417671147656)","98 Greene St","","New York",10012,"-73.99973975533851","40.72417671147656"
"Portara Gallery","POINT (-73.76753263900895 40.75653978324558)","4720A Bell Blvd","","Bayside",11361,"-73.76753263900895","40.75653978324558"
"Portico Fine Art","POINT (-74.0008266559124 40.724259321517835)","139 Spring St","","New York",10012,"-74.0008266559124","40.724259321517835"
"Portrait Gallery","POINT (-73.92228135415756 40.60993574125617)","5100 Kings Plz","","Brooklyn",11234,"-73.92228135415756","40.60993574125617"
"Postmasters Gallery","POINT (-74.00534660392837 40.745202434263945)","459 W 19th St","","New York",10011,"-74.00534660392837","40.745202434263945"
"Praxis International Art","POINT (-73.96513542144585 40.77277684295719)","25 E 73rd St","Fl 4","New York",10021,"-73.96513542144585","40.77277684295719"
"Prieto International Attorney In Fact Johnpoll","POINT (-74.00723565260127 40.71024984423636)","127 Fulton St","","New York",10038,"-74.00723565260127","40.71024984423636"
"Prince Street Gallery","POINT (-74.00469480010908 40.749337897473445)","530 W 25th St","","New York",10001,"-74.00469480010908","40.749337897473445"
"Professional Fine Arts Svces Inc","POINT (-73.99573169554829 40.74191723417448)","141 W 20th St","","New York",10011,"-73.99573169554829","40.74191723417448"
"Proposition the","POINT (-74.00714842024912 40.74820539748208)","162 11th Ave","","New York",10011,"-74.00714842024912","40.74820539748208"
"Public Art Fund","POINT (-73.97518753856254 40.760375484073926)","1 E. 53d St.","","New York",10022,"-73.97518753856254","40.760375484073926"
"Puerto Rican Work Shop Inc","POINT (-73.94672759344712 40.7926998453047)","121 E 106th St","","New York",10029,"-73.94672759344712","40.7926998453047"
"Pushman Gallery Inc","POINT (-73.979913078835 40.76499908899108)","154 W 57th St","","New York",10019,"-73.979913078835","40.76499908899108"
"Pytlak Art Studio","POINT (-73.94988527250548 40.71427612774082)","573 Metropolitan Ave","","Brooklyn",11211,"-73.94988527250548","40.71427612774082"
"Queen Art Publishers Inc","POINT (-74.00979549289632 40.72549195065175)","481 Washington St","","New York",10013,"-74.00979549289632","40.72549195065175"
"Questroyal Fine Art","POINT (-73.96001773937685 40.77572380172859)","903 Park Ave","Apt 3A","New York",10021,"-73.96001773937685","40.77572380172859"
"Rabenou Yris Ancient Arts","POINT (-73.96383620358236 40.762223977689416)","249 E 61st St","","New York",10021,"-73.96383620358236","40.762223977689416"
"Radio House Gallery","POINT (-74.00698522749778 40.75178267196637)","601 W 26th St","","New York",10001,"-74.00698522749778","40.75178267196637"
"Rafael Gallery","POINT (-73.96484847311721 40.76106891398838)","241 E 59th St","","New York",10022,"-73.96484847311721","40.76106891398838"
"Rainbow Fine Art Inc","POINT (-73.96108478026073 40.77866480998064)","15 E 82nd St","","New York",10028,"-73.96108478026073","40.77866480998064"
"Ralph Chait Galleries Inc","POINT (-73.97472467424907 40.76269798806097)","724 5th Ave","","New York",10019,"-73.97472467424907","40.76269798806097"
"Randel Gallery Inc","POINT (-73.96194182288089 40.77557044121497)","49 East 78th Street","1B","New York",10021,"-73.96194182288089","40.77557044121497"
"Randolph & Tate Assocs","POINT (-73.98804680373928 40.74435684322828)","234 5th Ave","","New York",10001,"-73.98804680373928","40.74435684322828"
"Raphael Fodde Editions","POINT (-73.98997735599107 40.70208740023595)","70 WASHINGTON ST","","Brooklyn",11201,"-73.98997735599107","40.70208740023595"
"Rare art Gallery","POINT (-74.00368999417438 40.75021572567968)","521 W 26th St Bsmt","","New York",10001,"-74.00368999417438","40.75021572567968"
"Raydon Gallery","POINT (-73.96032667632238 40.77833720539059)","1091 Madison Ave","","New York",10001,"-73.96032667632238","40.77833720539059"
"Red Dot","POINT (-73.99505920460594 40.74274457506512)","140 W 22nd St","","New York",10011,"-73.99505920460594","40.74274457506512"
"Reece Galleries Inc The","POINT (-73.97570995606252 40.7633560679256)","24 W 57th St","","New York",10019,"-73.97570995606252","40.7633560679256"
"Reeves Contemporary Inc","POINT (-74.00518820857934 40.74928257893011)","535 W 24th St","","New York",10011,"-74.00518820857934","40.74928257893011"
"Regina's Art Center","POINT (-74.00172859190214 40.603379984260826)","1921 Benson Ave","","Brooklyn",11214,"-74.00172859190214","40.603379984260826"
"Rehs Galleries Inc","POINT (-73.973110440921 40.76297400449145)","5 E 57th St","Fl 8","New York",10022,"-73.973110440921","40.76297400449145"
"Reinhold Brown Gallery","POINT (-73.96068894272547 40.77864024499883)","1100 Madison Ave","Ph","New York",10028,"-73.96068894272547","40.77864024499883"
"Renaissance Gallery","POINT (-73.94134747495355 40.82412358361577)","300 W 147th St","","New York",10039,"-73.94134747495355","40.82412358361577"
"Resnick Ira Inc","POINT (-73.96881061087802 40.76189452972676)","133 E 58th St","Ste 1001","New York",10022,"-73.96881061087802","40.76189452972676"
"Ricco Maresca Gallery","POINT (-74.0068465345964 40.74661224727327)","529 W 20th St","","New York",10011,"-74.0068465345964","40.74661224727327"
"Richard Gray Gallery","POINT (-73.96268744300946 40.776035116594834)","1018 Madison Ave","","New York",10021,"-73.96268744300946","40.776035116594834"
"Richard Solomon","POINT (-73.96796822375437 40.75490203267615)","305 E 50th St","","New York",10022,"-73.96796822375437","40.75490203267615"
"Richard York Gallery","POINT (-73.96884242026259 40.76764185257714)","21 E. 65th St.","2nd. Fl.","New York",10065,"-73.96884242026259","40.76764185257714"
"Rienzo Gallery","POINT (-73.9671517745906 40.769830800695885)","20 E 69th St","","New York",10021,"-73.9671517745906","40.769830800695885"
"Ritter-Antik Inc","POINT (-73.99270194219845 40.732504272410424)","35 E 10th St","","New York",10003,"-73.99270194219845","40.732504272410424"
"Rivington Bar & Art Gallery","POINT (-73.98443865749057 40.719087479643825)","174 Rivington St","","New York",10002,"-73.98443865749057","40.719087479643825"
"Robert Lee Morris Inc","POINT (-74.00236650608144 40.724407088132416)","400 W Broadway","","New York",10012,"-74.00236650608144","40.724407088132416"
"Robert Mann Gallery","POINT (-74.00591124427345 40.749743384358574)","210 11th Ave","","New York",10001,"-74.00591124427345","40.749743384358574"
"Robert Miller Gallery Inc","POINT (-74.00423398601862 40.74998085501487)","526 W 26th St","","New York",10001,"-74.00423398601862","40.74998085501487"
