Active Date,COUNTY,LEGAL NAME,INSTITUTION TYPE DESCRIPTION,INSTITUTION SUB TYPE DESCRIPTION,GRADE ORGANIZATION DESCRIPTION,MAILING ADDRESS,MAIL CITY,STATE,ZIP
7/1/80,NASSAU,LAWRENCE EARLY CHILDHOOD CENTER AT #4 SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL INDEPENDENT UNION FREE,Elementary,87 WANSER AVE,INWOOD,NY,11096
7/1/96,NASSAU,YESHIVA KETANA OF LONG ISLAND,NON-PUBLIC SCHOOLS,JEWISH,Elementary,321 DOUGHTY BLVD,INWOOD,NY,11096
7/1/80,QUEENS,DIVISION OF SCHOOL FACILITIES,PUBLIC SCHOOLS,NYC BUREAU,NA,30-30 THOMSON AVE,LONG ISLAND CITY,NY,11101
7/1/80,QUEENS,OFFICE OF SCHOOL FOOD & NUTRITIONAL SERVICES,PUBLIC SCHOOLS,NYC BUREAU,NA,44-36 VERNON BLVD,LONG ISLAND CITY,NY,11101
7/1/94,QUEENS,OFFICE OF ADULT AND CONTINUING EDUCATION,PUBLIC SCHOOLS,NYC BUREAU,NA,42-15 CRSCNT ST-RM 602,LONG ISLAND CITY,NY,11101
7/1/13,QUEENS,RIVERVIEW SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,1-50 51ST AVE,LONG ISLAND CITY,NY,11101
7/1/05,QUEENS,ACADEMY OF FINANCE AND ENTERPRISE,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,30-20 THOMSON AVE,LONG ISLAND CITY,NY,11101
7/1/05,QUEENS,HIGH SCHOOL OF APPLIED COMMUNICATIONS,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,30-20 THOMSON AVE,LONG ISLAND CITY,NY,11101
7/1/08,QUEENS,BARD HIGH SCHOOL EARLY COLLEGE QUEENS,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,30-20 THOMSON AVE,LONG ISLAND CITY,NY,11101
7/1/03,QUEENS,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,45-35 VAN DAM ST,LONG ISLAND CITY,NY,11101
7/1/03,QUEENS,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,45-35 VAN DAM ST,LONG ISLAND CITY,NY,11101
7/1/03,QUEENS,ROBERT F WAGNER JR SECONDARY SCHOOL-ARTS AND TECHNOLOGY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Junior Senior School,47-07 30TH PL,LONG ISLAND CITY,NY,11101
7/1/03,QUEENS,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,37-02 47TH AVE,LONG ISLAND CITY,NY,11101
7/1/80,QUEENS,AVIATION CAREER AND TECHNICAL HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,45-30 36TH ST,LONG ISLAND CITY,NY,11101
7/1/80,QUEENS,NEW YORK CITY GEOGRAPHIC DISTRICT #30,SCHOOL DISTRICTS,CITY,NA,28-11 QUEENS PLZ N,LONG ISLAND CITY,NY,11101
7/1/80,QUEENS,PS 111 JACOB BLACKWELL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,37-15 13TH ST,LONG ISLAND CITY,NY,11101
7/1/80,QUEENS,PS 112 DUTCH KILLS,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,25-05 37TH AVE,LONG ISLAND CITY,NY,11101
