Active Date,COUNTY,LEGAL NAME,INSTITUTION TYPE DESCRIPTION,INSTITUTION SUB TYPE DESCRIPTION,GRADE ORGANIZATION DESCRIPTION,MAILING ADDRESS,MAIL CITY,STATE,ZIP
7/1/80,SUFFOLK,FISHERS ISLAND UNION FREE SCHOOL DISTRICT,SCHOOL DISTRICTS,UNION FREE,NA,78 GREENWOOD RD #600,FISHERS ISLAND,NY,06390
7/1/80,SUFFOLK,FISHERS ISLAND SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL UNION FREE,Junior Senior School,78 GREENWOOD RD #600,FISHERS ISLAND,NY,06390
7/1/03,NEW YORK,PS 94,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,55 BATTERY PL,NEW YORK,NY,10001
7/1/80,NEW YORK,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,SCHOOL DISTRICTS,CITY,NA,333 7TH AVE-7TH FL,NEW YORK,NY,10001
7/1/03,NEW YORK,PS 33 CHELSEA PREP,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,281 9TH AVE,NEW YORK,NY,10001
7/1/14,NEW YORK,CITY KNOLL MIDDLE SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Junior High School,425 W 33RD ST,NEW YORK,NY,10001
7/1/03,NEW YORK,SATELLITE ACADEMY HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,120 W 30TH ST,NEW YORK,NY,10001
7/2/11,NEW YORK,AVENUES NEW YORK LLC,NON-PUBLIC SCHOOLS,INDEPENDENT,K-12 School,259 10TH AVE,NEW YORK,NY,10001
7/1/15,NEW YORK,ATLAS SCHOOL - ATLAS LEARNING FOUNDATION,NON-PUBLIC SCHOOLS,INDEPENDENT,Special School,252 W 29TH ST - FL 3,NEW YORK,NY,10001
7/1/89,NEW YORK,"BIRCH FAMILY SERVICES, INC",NON-PUBLIC SCHOOLS,INDEPENDENT,Special School,104 W 29TH ST-3RD FL,NEW YORK,NY,10001
7/1/03,NEW YORK,KESWELL SCHOOL (THE),NON-PUBLIC SCHOOLS,INDEPENDENT,Special School,331 W 25TH ST,NEW YORK,NY,10001
7/1/80,NEW YORK,OFFICE OF COLLABORATIVE DROPOUT PREVENTION,PUBLIC SCHOOLS,NYC BUREAU,NA,100 ATTORNEY ST,NEW YORK,NY,10002
7/1/80,NEW YORK,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,SCHOOL DISTRICTS,CITY,NA,166 ESSEX ST,NEW YORK,NY,10002
7/1/80,NEW YORK,PS 20 ANNA SILVER,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,166 ESSEX ST,NEW YORK,NY,10002
7/1/80,NEW YORK,PS 110 FLORENCE NIGHTINGALE,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,285 DELANCEY ST,NEW YORK,NY,10002
7/1/80,NEW YORK,PS 134 HENRIETTA SZOLD,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,293 E BROADWAY,NEW YORK,NY,10002
7/1/80,NEW YORK,PS 140 NATHAN STRAUS,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,123 RIDGE ST,NEW YORK,NY,10002
7/1/80,NEW YORK,PS 142 AMALIA CASTRO,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,100 ATTORNEY ST,NEW YORK,NY,10002
7/1/03,NEW YORK,PS 184 SHUANG WEN,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,327 CHERRY ST-2ND FL,NEW YORK,NY,10002
7/1/80,NEW YORK,PS 188 ISLAND SCHOOL (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,442 E HOUSTON ST,NEW YORK,NY,10002
7/1/04,NEW YORK,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,220 HENRY ST,NEW YORK,NY,10002
7/1/08,NEW YORK,SCHOOL FOR GLOBAL LEADERS,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,145 STANTON ST,NEW YORK,NY,10002
7/1/04,NEW YORK,ORCHARD COLLEGIATE ACADEMY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Junior Senior School,220 HENRY ST,NEW YORK,NY,10002
7/1/03,NEW YORK,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,200 MONROE ST,NEW YORK,NY,10002
5/4/90,NEW YORK,FORSYTHE SATELLITE ACADEMY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,198 FORSYTH ST,NEW YORK,NY,10002
7/1/94,NEW YORK,MARTA VALLE HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,145 STANTON ST,NEW YORK,NY,10002
7/1/03,NEW YORK,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,145 STANTON ST-4TH FL,NEW YORK,NY,10002
7/1/03,NEW YORK,"NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH HIGH SCHOOL",PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,K-12 School,111 COLUMBIA ST,NEW YORK,NY,10002
7/1/98,NEW YORK,CASCADES HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,198 FORSYTH ST-3RD FL,NEW YORK,NY,10002
7/1/04,NEW YORK,BARD HIGH SCHOOL EARLY COLLEGE,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,525 E HOUSTON ST,NEW YORK,NY,10002
7/1/80,NEW YORK,BETH JACOB ELEMENTARY SCHOOL,NON-PUBLIC SCHOOLS,JEWISH,Elementary,142 BROOME ST,NEW YORK,NY,10002
7/1/05,NEW YORK,GIRLS PREPARATORY CHARTER SCHOOL OF NEW YORK,PUBLIC SCHOOLS,CHARTER SCHOOL,Elementary,442 E HOUSTON ST-RM 312,NEW YORK,NY,10002
7/1/05,NEW YORK,MANHATTAN CHARTER SCHOOL,PUBLIC SCHOOLS,CHARTER SCHOOL,Elementary,100 ATTORNEY ST,NEW YORK,NY,10002
7/1/12,NEW YORK,MANHATTAN CHARTER SCHOOL II,PUBLIC SCHOOLS,CHARTER SCHOOL,Elementary,220 HENRY ST,NEW YORK,NY,10002
7/1/13,NEW YORK,GREAT OAKS CHARTER SCHOOL,PUBLIC SCHOOLS,CHARTER SCHOOL,Middle School,38 DELANCEY ST-3RD FL,NEW YORK,NY,10002
7/1/15,NEW YORK,PATHWAYS CHILDREN'S SERVICES,NON-PUBLIC SCHOOLS,INDEPENDENT,Other,273 BOWERY,NEW YORK,NY,10002
7/1/80,NEW YORK,PS 2 MEYER LONDON,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,122 HENRY ST,NEW YORK,NY,10002
7/1/80,NEW YORK,PS 42 BENJAMIN ALTMAN,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,71 HESTER ST,NEW YORK,NY,10002
7/1/80,NEW YORK,PS 124 YUNG WING,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,40 DIVISION ST,NEW YORK,NY,10002
7/1/03,NEW YORK,MS 131,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,100 HESTER ST,NEW YORK,NY,10002
7/1/04,NEW YORK,ESSEX STREET ACADEMY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,350 GRAND ST,NEW YORK,NY,10002
7/1/04,NEW YORK,PACE HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,100 HESTER ST,NEW YORK,NY,10002
7/1/05,NEW YORK,URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,350 GRAND ST,NEW YORK,NY,10002
7/1/05,NEW YORK,LOWER MANHATTAN ARTS ACADEMY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,350 GRAND ST,NEW YORK,NY,10002
7/1/09,NEW YORK,EMMA LAZARUS HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,100 HESTER ST,NEW YORK,NY,10002
7/1/03,NEW YORK,NEW DESIGN HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,350 GRAND ST,NEW YORK,NY,10002
7/1/03,NEW YORK,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,350 GRAND ST,NEW YORK,NY,10002
7/1/80,NEW YORK,MESIVTA TIFERETH JERUSALEM,NON-PUBLIC SCHOOLS,JEWISH,K-12 School,145 E BROADWAY,NEW YORK,NY,10002
7/1/03,NEW YORK,PS 226,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Junior Senior School,345 E 15TH ST-RM 202,NEW YORK,NY,10003
7/1/80,NEW YORK,MANHATTAN SCHOOL FOR CAREER DEVELOPMENT,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,113 E 4TH ST,NEW YORK,NY,10003
7/1/80,NEW YORK,PS 19 ASHER LEVY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,185 1ST AVE,NEW YORK,NY,10003
7/1/05,NEW YORK,"TECHNOLOGY, ARTS AND SCIENCES STUDIO SCHOOL",PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,185 1ST AVE,NEW YORK,NY,10003
7/1/80,NEW YORK,LA SALLE ACADEMY,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Senior High,215 E 6TH ST,NEW YORK,NY,10003
7/1/80,NEW YORK,SAINT GEORGE ACADEMY,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Senior High,215 E 6TH ST,NEW YORK,NY,10003
7/1/14,NEW YORK,NORD ANGLIA INTERNATIONAL SCHOOL-NEW YORK,NON-PUBLIC SCHOOLS,INDEPENDENT,Elementary,44 E 2ND ST,NEW YORK,NY,10003
7/1/03,NEW YORK,PS 40 AUGUSTUS SAINT-GAUDENS,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,319 E 19TH ST,NEW YORK,NY,10003
7/1/03,NEW YORK,MS 255 SALK SCHOOL OF SCIENCE,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,319 E 19TH ST,NEW YORK,NY,10003
7/1/03,NEW YORK,MS 260 CLINTON SCHOOL WRITERS & ARTISTS,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,10 E 15TH ST,NEW YORK,NY,10003
7/1/08,NEW YORK,GRAMERCY ARTS HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,40 IRVING PL,NEW YORK,NY,10003
7/1/09,NEW YORK,HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,40 IRVING PL,NEW YORK,NY,10003
7/1/03,NEW YORK,INSTITUTE FOR COLLABORATIVE EDUCATION,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Junior Senior School,345 E 15TH ST,NEW YORK,NY,10003
7/1/03,NEW YORK,HIGH SCHOOL FOR HEALTH PROFESSIONS & HUMAN SERVICES,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,345 E 15TH ST,NEW YORK,NY,10003
7/1/10,NEW YORK,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,40 IRVING PL,NEW YORK,NY,10003
7/1/02,NEW YORK,BALLET TECH/NYC PUBLIC SCHOOL FOR DANCE,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,890 BROADWAY,NEW YORK,NY,10003
7/1/12,NEW YORK,UNION SQUARE ACADEMY FOR HEALTH SCIENCES,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,40 IRVING PL,NEW YORK,NY,10003
7/1/12,NEW YORK,ACADEMY FOR SOFTWARE ENGINEERING,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,40 IRVING PL,NEW YORK,NY,10003
7/1/89,NEW YORK,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,240 2ND AVE,NEW YORK,NY,10003
7/1/03,NEW YORK,HARVEY MILK HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,2-10 ASTOR PL,NEW YORK,NY,10003
7/1/80,NEW YORK,GRACE CHURCH SCHOOL,NON-PUBLIC SCHOOLS,EPISCOPAL,K-12 School,86 4TH AVE,NEW YORK,NY,10003
7/1/80,NEW YORK,FRIENDS SEMINARY,NON-PUBLIC SCHOOLS,QUAKERS,K-12 School,222 E 16TH ST,NEW YORK,NY,10003
7/1/13,NEW YORK,SUCCESS ACADEMY CHARTER SCHOOL-UNION SQUARE,PUBLIC SCHOOLS,CHARTER SCHOOL,Elementary,40 IRVING PL-2ND FL,NEW YORK,NY,10003
7/1/02,NEW YORK,LEARNINGSPRING SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,Special School,247 E 20TH ST,NEW YORK,NY,10003
7/1/03,NEW YORK,MILLENNIUM HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,75 BROAD ST,NEW YORK,NY,10004
7/1/05,NEW YORK,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,26 BROADWAY-6TH FL,NEW YORK,NY,10004
7/1/05,NEW YORK,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,26 BROADWAY,NEW YORK,NY,10004
7/1/03,NEW YORK,URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,10 SOUTH ST-SLIP 7,NEW YORK,NY,10004
7/1/89,NEW YORK,RICHARD R GREEN HIGH SCHOOL OF TEACHING,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,26 BROADWAY,NEW YORK,NY,10004
7/1/00,NEW YORK,JOHN V LINDSAY WILDCAT ACADEMY CHARTER SCHOOL,PUBLIC SCHOOLS,CHARTER SCHOOL,Senior High,17 BATTERY PL,NEW YORK,NY,10004
7/1/05,NEW YORK,LEMAN MANHATTAN PREPARATORY SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,K-12 School,41 BROAD ST,NEW YORK,NY,10004
7/1/10,NEW YORK,LANG SCHOOL (THE),NON-PUBLIC SCHOOLS,INDEPENDENT,Junior Senior School,11 BROADWAY-STE 300,NEW YORK,NY,10004
7/1/00,KINGS,IVDU SCHOOL,NON-PUBLIC SCHOOLS,JEWISH,Elementary,11 BROADWAY-13TH FL,NEW YORK,NY,10004
7/1/13,NEW YORK,QUAD PREPARATORY SCHOOL (THE),NON-PUBLIC SCHOOLS,INDEPENDENT,Other,25 PINE ST-4TH FL,NEW YORK,NY,10005
7/1/14,NEW YORK,PINE STREET SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,Elementary,25 PINE ST,NEW YORK,NY,10005
7/1/93,NEW YORK,LEADERSHIP & PUBLIC SERVICE HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,90 TRINITY PL,NEW YORK,NY,10006
7/1/93,NEW YORK,HIGH SCHOOL OF ECONOMICS & FINANCE,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,100 TRINITY PL,NEW YORK,NY,10006
7/1/80,NEW YORK,NYC CHANCELLOR'S OFFICE,SCHOOL DISTRICTS,CITY,NA,52 CHAMBERS ST-RM 320,NEW YORK,NY,10007
7/1/98,NEW YORK,OFFICE OF THE DEPUTY CHANCELLOR FOR OPERATIONS,PUBLIC SCHOOLS,NYC BUREAU,NA,52 CHAMBERS ST,NEW YORK,NY,10007
7/1/98,NEW YORK,OFFICE OF THE DEPUTY CHANCELLOR FOR INSTRUCTION,PUBLIC SCHOOLS,NYC BUREAU,NA,52 CHAMBERS ST,NEW YORK,NY,10007
7/1/98,NEW YORK,OFFICE FOR INTER-GOVERNMENTAL AFFAIRS,PUBLIC SCHOOLS,NYC BUREAU,NA,52 CHAMBERS ST,NEW YORK,NY,10007
7/1/98,NEW YORK,OFFICE OF STRATEGIC PARTNERSHIP,PUBLIC SCHOOLS,NYC BUREAU,NA,52 CHAMBERS ST,NEW YORK,NY,10007
7/1/98,NEW YORK,CHANCELLOR'S OFFICE FOR DEVELOPMENT,PUBLIC SCHOOLS,NYC BUREAU,NA,52 CHAMBERS ST,NEW YORK,NY,10007
7/1/80,NEW YORK,BUREAU OF ATTENDANCE-STUDENT SUPPORT SERVICES,PUBLIC SCHOOLS,NYC BUREAU,NA,52 CHAMBERS ST,NEW YORK,NY,10007
7/1/80,NEW YORK,BUDGET OPERATIONS & REVIEW,PUBLIC SCHOOLS,NYC BUREAU,NA,52 CHAMBERS ST,NEW YORK,NY,10007
7/1/80,NEW YORK,SCHOOL PROGRAMS & SUPPORT SERVICES,PUBLIC SCHOOLS,NYC BUREAU,NA,52 CHAMBERS ST,NEW YORK,NY,10007
7/1/01,NEW YORK,CHANCELLOR'S DISTRICT 85,PUBLIC SCHOOLS,NYC BUREAU,NA,52 CHAMBERS ST,NEW YORK,NY,10007
7/1/04,NEW YORK,OFFICE OF YOUTH DEVELOPMENT & SCHOOL COMMUNITY SERVICES,PUBLIC SCHOOLS,NYC BUREAU,NA,52 CHAMBERS ST,NEW YORK,NY,10007
7/1/80,NEW YORK,PS 234 INDEPENDENCE SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,292 GREENWICH ST,NEW YORK,NY,10007
7/1/80,NEW YORK,OFFICE OF THE CHIEF FINANCIAL OFFICER,PUBLIC SCHOOLS,NYC BUREAU,NA,52 CHAMBERS ST,NEW YORK,NY,10009
7/1/80,NEW YORK,PS 15 ROBERTO CLEMENTE,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,333 E 4TH ST,NEW YORK,NY,10009
7/1/80,NEW YORK,PS 34 FRANKLIN D ROOSEVELT,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,730 E 12TH ST,NEW YORK,NY,10009
7/1/80,NEW YORK,STAR ACADEMY PS 63 (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,121 E 3RD ST,NEW YORK,NY,10009
7/1/02,NEW YORK,PS 64 ROBERT SIMON,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,600 E 6TH ST,NEW YORK,NY,10009
7/1/04,NEW YORK,EAST VILLAGE COMMUNITY SCHOOL (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,610 E 12TH ST,NEW YORK,NY,10009
7/1/04,NEW YORK,CHILDREN'S WORKSHOP SCHOOL (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,610 E 12TH ST,NEW YORK,NY,10009
7/1/04,NEW YORK,NEIGHBORHOOD SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,121 E 3RD ST,NEW YORK,NY,10009
7/1/04,NEW YORK,EARTH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,600 E 6TH ST,NEW YORK,NY,10009
7/1/04,NEW YORK,TOMPKINS SQUARE MIDDLE SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,600 E 6TH ST,NEW YORK,NY,10009
7/1/03,NEW YORK,EAST SIDE COMMUNITY SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Junior Senior School,420 E 12TH ST,NEW YORK,NY,10009
7/1/80,NEW YORK,SAINT BRIGID SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Elementary,185 E 7TH ST,NEW YORK,NY,10009
7/1/80,NEW YORK,IMMACULATE CONCEPTION SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Elementary,419 E 13TH ST,NEW YORK,NY,10009
7/1/93,NEW YORK,CONNELLY CTR EDUCATION/HOLY CHILD MIDDLE SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Elementary,220 E 4TH ST,NEW YORK,NY,10009
7/1/15,NEW YORK,NEW AMSTERDAM SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,Other,62 AVE B,NEW YORK,NY,10009
7/1/03,NEW YORK,GEORGE JACKSON ACADEMY,NON-PUBLIC SCHOOLS,INDEPENDENT,Elementary,104 ST MARK'S PL,NEW YORK,NY,10009
7/1/80,NEW YORK,CLININCAL AND SUPPORT SERVICES,PUBLIC SCHOOLS,NYC BUREAU,NA,400 FIRST AVE,NEW YORK,NY,10010
7/1/80,NEW YORK,CITY-WIDE PROGRAMS UNIT-DISTRICT 75,PUBLIC SCHOOLS,NYC BUREAU,NA,400 FIRST AVE,NEW YORK,NY,10010
7/1/80,NEW YORK,EDUCATIONAL VISIONS PROGRAM,PUBLIC SCHOOLS,NYC BUREAU,NA,400 FIRST AVE,NEW YORK,NY,10010
7/1/92,NEW YORK,RELATED AND CONTRACTUAL SERVICES,PUBLIC SCHOOLS,NYC BUREAU,NA,400 FIRST AVE-RM 551,NEW YORK,NY,10010
7/1/03,NEW YORK,NYC SPECIAL SCHOOLS - DISTRICT 75,SCHOOL DISTRICTS,CITY,NA,400 FIRST AVE,NEW YORK,NY,10010
7/1/80,NEW YORK,AMERICAN SIGN LANGUAGE & ENGLISH SECONDARY SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,223 E 23RD ST,NEW YORK,NY,10010
7/1/80,NEW YORK,JHS 104 SIMON BARUCH,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,330 E 21ST ST,NEW YORK,NY,10010
7/1/05,NEW YORK,47 AMERICAN SIGN LANGUAGE AND ENGLISH LOWER SCHOOL (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,223 E 23RD ST,NEW YORK,NY,10010
7/1/03,NEW YORK,SCHOOL OF THE FUTURE HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Junior Senior School,127 E 22ND ST,NEW YORK,NY,10010
7/1/97,NEW YORK,BARUCH COLLEGE CAMPUS HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,55 E 25TH ST,NEW YORK,NY,10010
7/1/03,NEW YORK,MANHATTAN VILLAGE ACADEMY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,43 W 22ND ST,NEW YORK,NY,10010
7/1/80,NEW YORK,EPIPHANY SCHOOL (THE),NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Elementary,234 E 22ND ST,NEW YORK,NY,10010
7/1/06,NEW YORK,BRITISH INTERNATIONAL SCHOOL OF NEW YORK,NON-PUBLIC SCHOOLS,INDEPENDENT,Elementary,20 WATERSIDE PLAZA,NEW YORK,NY,10010
7/1/10,NEW YORK,ECOLE INTERNATIONALE DE NEW YORK,NON-PUBLIC SCHOOLS,INDEPENDENT,Elementary,111 E 22ND ST,NEW YORK,NY,10010
7/1/80,NEW YORK,U N INTERNATIONAL SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,K-12 School,24-50 FDR DR,NEW YORK,NY,10010
7/1/80,NEW YORK,PS 11 WILLIAM T HARRIS,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,320 W 21ST ST,NEW YORK,NY,10011
7/1/80,NEW YORK,PS 41 GREENWICH VILLAGE,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,116 W 11TH ST,NEW YORK,NY,10011
7/1/09,NEW YORK,BATTERY PARK CITY SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,55 BATTERY PL,NEW YORK,NY,10011
7/1/03,NEW YORK,NYC LAB MS FOR COLLABORATIVE STUDIES,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,333 W 17TH ST,NEW YORK,NY,10011
7/1/14,NEW YORK,SIXTH AVENUE ELEMENTARY SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,590 6TH AVE,NEW YORK,NY,10011
7/1/97,NEW YORK,NYC LAB HIGH SCHOOL FOR COLLABORATIVE STUDIES,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,333 W 17TH ST,NEW YORK,NY,10011
7/1/97,NEW YORK,NYC MUSEUM SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,333 W 17TH ST,NEW YORK,NY,10011
7/1/05,NEW YORK,JAMES BALDWIN SCHOOL-A SCHOOL FOR EXPEDITIONARY LRNING,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,351 W 18TH ST,NEW YORK,NY,10011
7/1/09,NEW YORK,MANHATTAN BUSINESS ACADEMY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,351 W 18TH ST,NEW YORK,NY,10011
7/1/03,NEW YORK,LANDMARK HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,351 W 18TH ST,NEW YORK,NY,10011
7/1/09,NEW YORK,QUEST TO LEARN,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Junior Senior School,351 W 18TH ST,NEW YORK,NY,10011
7/1/10,NEW YORK,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,351 W 18TH ST,NEW YORK,NY,10011
7/1/12,NEW YORK,HARVEST COLLEGIATE HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,34 W 14TH ST,NEW YORK,NY,10011
7/1/03,NEW YORK,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,250 W 18TH ST,NEW YORK,NY,10011
7/1/80,NEW YORK,HIGH SCHOOL OF FASHION INDUSTRIES (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,225 W 24TH ST,NEW YORK,NY,10011
7/1/03,NEW YORK,HUMANITIES PREPARATORY ACADEMY,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,351 W 18TH ST,NEW YORK,NY,10011
7/1/80,NEW YORK,GUARDIAN ANGEL SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Elementary,193 10TH AVE,NEW YORK,NY,10011
7/1/80,NEW YORK,CITY AND COUNTRY SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,Elementary,146 W 13TH ST,NEW YORK,NY,10011
7/1/86,NEW YORK,LORGE SCHOOL (THE),NON-PUBLIC SCHOOLS,INDEPENDENT,Special School,353 W 17TH ST,NEW YORK,NY,10011
7/1/80,NEW YORK,CORLEARS SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,Elementary,324 W 15TH ST,NEW YORK,NY,10011
