the_geom,NAME,ADDRESS1,ADDRES2,CITY,ZIP
POINT (-73.98452812145446 40.76301793173241),Neil Simon Theatre,250 W 52nd St,,New York,10019
POINT (-73.9877630076589 40.75612046652384),New Amsterdam Theater,214 W 42nd St,,New York,10036
POINT (-73.98746415730906 40.75655716099295),New Victory Theatre,209 West 42nd Street,,New York,10036
POINT (-73.98786703441492 40.76237395668448),New World Stages,340 West 50th Street,,New York,10019
POINT (-74.00658864051292 40.735621467140966),Next Stage Theater,312 West 11th Street,,New York,10014
POINT (-73.98621794461265 40.757678172894884),Nokia Theatre Times Square,1515 Broadway,,New York,10036
POINT (-74.00161141394004 40.72327983890941),Ohio Theatre,66 Wooster Street,,New York,10012
POINT (-74.00567108963654 40.720546556543276),Ontological Hysteric Theater,260 W Broadway,,New York,10013
POINT (-73.95400942533547 40.77945537812588),Orpheum Theater,1538 3rd Ave,,New York,10028
POINT (-73.98453728003108 40.728218122202),P.S.122 Performance Space,150 1st Ave,,New York,10003
POINT (-73.98447031550603 40.758889926706715),Palace Theatre,1564 Broadway,,New York,10036
POINT (-73.98579977557452 40.727559019006584),Pearl Theatre,80 Saint Marks Pl,,New York,10003
POINT (-73.99228995399157 40.74736717975171),People's Improv Theater,154 W 29th St,,New York,10001
POINT (-73.9922209999171 40.729488634445005),Playwrights Horizons Theater School,440 Lafayette St,,New York,10003
POINT (-73.84455209627207 40.74397928445518),Queens Theatre in the Park,Flushing Meadows Corona Park,,Queens,11352
POINT (-74.00203650279532 40.73617406719814),Rattlestick Theater,224 Waverly Pl,,New York,10014
POINT (-73.9867417603334 40.75903833018236),Richard Rodgers Theatre,226 W 46th Street,,New York,10036
POINT (-73.98674510476694 40.76037502090257),Samuel J. Friedman Theatre (formerly the Biltmore),261 W 47th St,,New York,10036
POINT (-73.98973789241076 40.758239914427065),Second Stage Theater,307 W 43rd St,,New York,10036
POINT (-73.98723930549964 40.758137611181176),Shubert Theatre,225 W 44th St,Lbby,New York,10036
POINT (-73.98442891934225 40.76141062139737),Snapple Theater Center,1627 Broadway,,New York,10019
POINT (-74.00436193722095 40.72653567529159),SoHo Playhouse,15 Vandam St,,New York,10013
POINT (-74.00472935248527 40.718230021804324),SoHo Repertory Theatre,86 Franklin St,,New York,10013
POINT (-73.98816053699704 40.75799822657315),St. James Theatre,246 W 44th St,Lbby,New York,10036
POINT (-73.98377095865544 40.76435408364673),Studio 54 Theatre,254 W 54th Street,,New York,10019
POINT (-73.97037578132182 40.77996630281343),Swedish Cottage Marionette Theater,West Side at 79th Street,,New York,10025
POINT (-73.99027790676004 40.71854810051081),Tenement Theatre,97 Orchard Street,,New York,10002
POINT (-73.99374147365816 40.75868460666427),The Beckett Theatre,410 W 42 St,9 Ave,New York,10036
POINT (-74.00902180098625 40.73645809825258),The Cherry Pit,155 Bank St,,New York,10014
POINT (-73.99391778593146 40.75855311297125),The Little Shubert theatre,422 West 42nd Street,,New York,10036
POINT (-73.99177371983643 40.72892340209371),The Public Theater,425 Lafayette St,,New York,10003
POINT (-73.94482123207857 40.74890599748924),The Secret Theatre,44-02 23rd St.,,Long Island City,11101
POINT (-73.9973874129749 40.747653594271554),The Upright Citizens Brigade Theatre,307 W 26th Street,,New York,10001
POINT (-73.98424386556361 40.774102169778494),The Walter Reade Theater at Lincoln Center,70 Lincoln Center Plaza,,New York,10023
POINT (-73.99403364237084 40.75467479348333),The Zipper Theater,336 W 37th St,,New York,10018
POINT (-73.98498034698733 40.72869278070282),Theater For The New City,155 1st Avenue,,New York,10003
POINT (-73.99157114995049 40.76156669374937),Theatre @ St. Clement's,423 West 46th Street,,New York,10036
POINT (-73.98575178908337 40.72762096989025),Theatre 80 St Marks,80 Saint Marks Pl,,New York,10003
POINT (-73.99389624316413 40.75872836920871),Theatre Row,410 W 42nd Street,,New York,10036
POINT (-73.98496483499095 40.72728974704827),Under St. Marks,94 St. Marks Place,,New York,10009
POINT (-73.98874896687076 40.73624066126629),Union Square Theater,100 E 17th St,,New York,10003
POINT (-74.00022350602671 40.728455101424615),Village Theater,158 Bleecker St,,New York,10012
POINT (-73.98918917658457 40.73469974282689),Vineyard Theatre,108 E 15th St,,New York,10003
POINT (-74.00351370204922 40.71931150109748),Walkerspace Theater,46 Walker Street,,New York,10013
POINT (-73.99339518921583 40.75049725404502),Wamu Theater (formerly Theater At Madison Square Garden),4 Penn Plaza,,New York,10001
POINT (-73.99255324047746 40.759527416110735),Westside Theater,407 W 43rd St,,New York,10036
POINT (-74.0088925664614 40.73239903762212),Wings Theatre,154 Christopher St,Bsmt,New York,10014
POINT (-73.98348163057112 40.761524646280805),Winter Garden Theatre,1634 Broadway,,New York,10019
POINT (-73.96997885915609 40.758357229201536),York Theatre,619 Lexington Ave,,New York,10022
POINT (-73.9688248050205 40.78017563530363),Delacorte Theater,Central Park - Mid-Park at 80th Street,SW corner of the Great Lawn,New York,0
