NAME,the_geom,ADDRESS1,ADDRESS2,CITY,ZIP,long,lat
Plum Blossom Gallery,POINT (-74.0053735768785 40.7501763280434),555 W 25th St,,Manhattan,10001,-74.00537358,40.75017633
Polizzi Fine Art,POINT (-74.02860202478092 40.628876223412206),7813 3rd Ave,,Brooklyn,11209,-74.02860202,40.62887622
Poller Leah,POINT (-73.99973975533851 40.72417671147656),98 Greene St,,Manhattan,10012,-73.99973976,40.72417671
Portara Gallery,POINT (-73.76753263900895 40.75653978324558),4720A Bell Blvd,,Bayside,11361,-73.76753264,40.75653978
Portico Fine Art,POINT (-74.0008266559124 40.724259321517835),139 Spring St,,Manhattan,10012,-74.00082666,40.72425932
Portrait Gallery,POINT (-73.92228135415756 40.60993574125617),5100 Kings Plz,,Brooklyn,11234,-73.92228135,40.60993574
Postmasters Gallery,POINT (-74.00534660392837 40.745202434263945),459 W 19th St,,Manhattan,10011,-74.0053466,40.74520243
Praxis International Art,POINT (-73.96513542144585 40.77277684295719),25 E 73rd St,Fl 4,Manhattan,10021,-73.96513542,40.77277684
Prieto International Attorney In Fact Johnpoll,POINT (-74.00723565260127 40.71024984423636),127 Fulton St,,Manhattan,10038,-74.00723565,40.71024984
Prince Street Gallery,POINT (-74.00469480010908 40.749337897473445),530 W 25th St,,Manhattan,10001,-74.0046948,40.7493379
Professional Fine Arts Svces Inc,POINT (-73.99573169554829 40.74191723417448),141 W 20th St,,Manhattan,10011,-73.9957317,40.74191723
Proposition the,POINT (-74.00714842024912 40.74820539748208),162 11th Ave,,Manhattan,10011,-74.00714842,40.7482054
Public Art Fund,POINT (-73.97518753856254 40.760375484073926),1 E. 53d St.,,Manhattan,10022,-73.97518754,40.76037548
Puerto Rican Work Shop Inc,POINT (-73.94672759344712 40.7926998453047),121 E 106th St,,Manhattan,10029,-73.94672759,40.79269985
Pushman Gallery Inc,POINT (-73.979913078835 40.76499908899108),154 W 57th St,,Manhattan,10019,-73.97991308,40.76499909
Pytlak Art Studio,POINT (-73.94988527250548 40.71427612774082),573 Metropolitan Ave,,Brooklyn,11211,-73.94988527,40.71427613
Queen Art Publishers Inc,POINT (-74.00979549289632 40.72549195065175),481 Washington St,,Manhattan,10013,-74.00979549,40.72549195
Questroyal Fine Art,POINT (-73.96001773937685 40.77572380172859),903 Park Ave,Apt 3A,Manhattan,10021,-73.96001774,40.7757238
Rabenou Yris Ancient Arts,POINT (-73.96383620358236 40.762223977689416),249 E 61st St,,Manhattan,10021,-73.9638362,40.76222398
Radio House Gallery,POINT (-74.00698522749778 40.75178267196637),601 W 26th St,,Manhattan,10001,-74.00698523,40.75178267
Rafael Gallery,POINT (-73.96484847311721 40.76106891398838),241 E 59th St,,Manhattan,10022,-73.96484847,40.76106891
Rainbow Fine Art Inc,POINT (-73.96108478026073 40.77866480998064),15 E 82nd St,,Manhattan,10028,-73.96108478,40.77866481
